fi_name_for_plot,financial_flow_link_strength,total_usd_m,total_usd_m_this_strength,pct_this_strength_for_fi
ABN Amro Bank NV,High,11552.048738676673,648.5107799427864,6%
ABN Amro Bank NV,Low,11552.048738676673,5300.931730793938,46%
ABN Amro Bank NV,Medium,11552.048738676673,5602.606227939944,48%
ANZ Group Holdings Ltd,High,15374.05440177373,177.55003181771755,1%
ANZ Group Holdings Ltd,Low,15374.05440177373,7787.578920390015,51%
ANZ Group Holdings Ltd,Medium,15374.05440177373,7408.925449565995,48%
BNP Paribas SA,High,39426.01523727543,666.0272152782663,2%
BNP Paribas SA,Low,39426.01523727543,20282.406761516922,51%
BNP Paribas SA,Medium,39426.01523727543,18477.581260480278,47%
BTG Pactual G7 Holding SA,High,6352.332477544663,3959.0113185801374,62%
BTG Pactual G7 Holding SA,Low,6352.332477544663,1148.5504610056637,18%
BTG Pactual G7 Holding SA,Medium,6352.332477544663,1244.770697958863,20%
Banco Bilbao Vizcaya Argentaria SA,High,9377.038133802082,121.96618793577044,1%
Banco Bilbao Vizcaya Argentaria SA,Low,9377.038133802082,5639.4615198137035,60%
Banco Bilbao Vizcaya Argentaria SA,Medium,9377.038133802082,3615.6104260526113,39%
Banco Bradesco SA,High,14114.22752034162,6351.292022842941,45%
Banco Bradesco SA,Low,14114.22752034162,4073.895790653884,29%
Banco Bradesco SA,Medium,14114.22752034162,3689.039706844794,26%
Banco Santander SA,High,26066.579379452865,3733.9791617846254,14%
Banco Santander SA,Low,26066.579379452865,14210.192072994172,55%
Banco Santander SA,Medium,26066.579379452865,8122.408144674067,31%
Banco do Brasil SA*,High,8977.68843563341,4473.024543189825,50%
Banco do Brasil SA*,Low,8977.68843563341,2794.92686801221,31%
Banco do Brasil SA*,Medium,8977.68843563341,1709.7370244313797,19%
Bank VTB PAO*,Low,14852.022908332476,14852.022908332476,100%
Bank of America Corp,High,48781.11668804899,736.5032900110568,2%
Bank of America Corp,Low,48781.11668804899,20824.680712423597,43%
Bank of America Corp,Medium,48781.11668804899,27219.93268561435,56%
Bank of Montreal,High,9164.729843604646,151.4380368987605,2%
Bank of Montreal,Low,9164.729843604646,4526.956079231882,49%
Bank of Montreal,Medium,9164.729843604646,4486.335727473998,49%
Bank of Nova Scotia,High,11616.773337704732,802.114234240917,7%
Bank of Nova Scotia,Low,11616.773337704732,5851.123055763353,50%
Bank of Nova Scotia,Medium,11616.773337704732,4963.536047700465,43%
Barclays PLC,High,35809.55425032868,368.88386789392536,1%
Barclays PLC,Low,35809.55425032868,13048.196823242259,36%
Barclays PLC,Medium,35809.55425032868,22392.473559192513,63%
Bpce SA,High,11825.30115113701,628.7599373276117,5%
Bpce SA,Low,11825.30115113701,6684.573729059547,57%
Bpce SA,Medium,11825.30115113701,4511.96748474985,38%
China Investment Corp*,High,25417.51102314146,682.0446172142786,3%
China Investment Corp*,Low,25417.51102314146,16215.059942831896,64%
China Investment Corp*,Medium,25417.51102314146,8520.406463095278,34%
Citigroup Inc,High,70935.81666720027,2266.813055485411,3%
Citigroup Inc,Low,70935.81666720027,39681.832422338724,56%
Citigroup Inc,Medium,70935.81666720027,28987.171189376208,41%
CoBank ACB,Low,10299.625973260498,3213.2917682790544,31%
