fi_name_for_plot,financial_flow_link_strength,total_usd_m,total_usd_m_this_strength,pct_this_strength_for_fi
ABN Amro Bank NV ↗,High,12306.790921936808,681.2015313144403,6%
ABN Amro Bank NV ↗,Low,12306.790921936808,5915.392107894171,48%
ABN Amro Bank NV ↗,Medium,12306.790921936808,5710.197282728208,46%
ANZ Group Holdings Ltd ↗,High,22323.038078524096,239.35976924932265,1%
ANZ Group Holdings Ltd ↗,Low,22323.038078524096,10999.368164452913,49%
ANZ Group Holdings Ltd ↗,Medium,22323.038078524096,11084.310144821788,50%
BNP Paribas SA ↗,High,65029.90636227098,1222.3417884333605,2%
BNP Paribas SA ↗,Low,65029.90636227098,35667.53339350081,55%
BNP Paribas SA ↗,Medium,65029.90636227098,28140.031180336966,43%
BTG Pactual G7 Holding SA ↘,High,9987.885685409608,6264.175404432124,63%
BTG Pactual G7 Holding SA ↘,Low,9987.885685409608,1988.2084098626344,20%
BTG Pactual G7 Holding SA ↘,Medium,9987.885685409608,1735.5018711148496,17%
Banco Bilbao Vizcaya Argentaria SA ↗,High,15830.355449577186,156.54462787377724,1%
Banco Bilbao Vizcaya Argentaria SA ↗,Low,15830.355449577186,7938.336406608442,50%
Banco Bilbao Vizcaya Argentaria SA ↗,Medium,15830.355449577186,7735.47441509496,49%
Banco Bradesco SA ↘,High,18662.949592370227,8512.454557052637,46%
Banco Bradesco SA ↘,Low,18662.949592370227,4888.71366755581,26%
Banco Bradesco SA ↘,Medium,18662.949592370227,5261.781367761795,28%
Banco Santander SA ↗,High,43171.83707307911,6598.616746498085,15%
Banco Santander SA ↗,Low,43171.83707307911,23561.253345260793,55%
Banco Santander SA ↗,Medium,43171.83707307911,13011.966981320284,30%
Banco do Brasil SA* ↘,High,10957.076446008132,5485.9092701424925,50%
Banco do Brasil SA* ↘,Low,10957.076446008132,3193.8869711818097,29%
Banco do Brasil SA* ↘,Medium,10957.076446008132,2277.2802046838397,21%
Bank VTB PAO* →,Low,14852.022908332476,14852.022908332476,100%
Bank of America Corp ↗,High,71703.18830375958,1602.414325372476,2%
Bank of America Corp ↗,Low,71703.18830375958,30696.20527100046,43%
Bank of America Corp ↗,Medium,71703.18830375958,39404.56870738661,55%
Bank of Montreal ↗,High,14014.09283893433,216.22210640653745,2%
Bank of Montreal ↗,Low,14014.09283893433,5809.581277060802,41%
Bank of Montreal ↗,Medium,14014.09283893433,7988.289455466991,57%
Bank of Nova Scotia ↗,High,15620.925866917663,1206.3221069190565,8%
Bank of Nova Scotia ↗,Low,15620.925866917663,7673.808027513226,49%
Bank of Nova Scotia ↗,Medium,15620.925866917663,6740.79573248538,43%
Barclays PLC ↗,High,53306.318934803865,463.0980893672627,1%
Barclays PLC ↗,Low,53306.318934803865,18871.372822469,35%
Barclays PLC ↗,Medium,53306.318934803865,33971.84802296761,64%
Bpce SA ↘,High,16442.213985142844,815.4812655804403,5%
