fi_name_for_plot,financial_flow_link_strength,total_usd_m,total_usd_m_this_strength,pct_this_strength_for_fi
ABN Amro Bank NV ↗,High,12931.276430353675,724.7690595535057,6%
ABN Amro Bank NV ↗,Low,12931.276430353675,5870.027731400067,45%
ABN Amro Bank NV ↗,Medium,12931.276430353675,6336.4796394001,49%
ANZ Group Holdings Ltd ↗,High,20445.008363596116,233.75223472277713,1%
ANZ Group Holdings Ltd ↗,Low,20445.008363596116,9638.4006719033,47%
ANZ Group Holdings Ltd ↗,Medium,20445.008363596116,10572.855456969974,52%
BNP Paribas SA ↗,High,56215.31090924121,1080.0506618495176,2%
BNP Paribas SA ↗,Low,56215.31090924121,28108.33143551317,50%
BNP Paribas SA ↗,Medium,56215.31090924121,27026.928811878664,48%
BTG Pactual G7 Holding SA ↘,High,10105.946180116993,6629.788293323306,66%
BTG Pactual G7 Holding SA ↘,Low,10105.946180116993,1988.2084098626344,20%
BTG Pactual G7 Holding SA ↘,Medium,10105.946180116993,1487.9494769310495,15%
Banco Bilbao Vizcaya Argentaria SA ↗,High,15089.999795318066,156.8382417716988,1%
Banco Bilbao Vizcaya Argentaria SA ↗,Low,15089.999795318066,7744.533593406032,51%
Banco Bilbao Vizcaya Argentaria SA ↗,Medium,15089.999795318066,7188.6279601403285,48%
Banco Bradesco SA ↘,High,18006.71862700807,8738.891529764547,49%
Banco Bradesco SA ↘,Low,18006.71862700807,4705.72351674275,26%
Banco Bradesco SA ↘,Medium,18006.71862700807,4562.103580500787,25%
Banco Santander SA ↗,High,39537.4313096584,6674.374720739039,17%
Banco Santander SA ↗,Low,39537.4313096584,20796.726779247907,53%
Banco Santander SA ↗,Medium,39537.4313096584,12066.329809671473,31%
Banco do Brasil SA* ↘,High,10850.871314824853,5921.787594753997,55%
Banco do Brasil SA* ↘,Low,10850.871314824853,2958.678849097641,27%
Banco do Brasil SA* ↘,Medium,10850.871314824853,1970.4048709732242,18%
Bank VTB PAO* →,Low,14852.022908332476,14852.022908332476,100%
Bank of America Corp ↗,High,67944.4666073956,1817.073431160085,3%
Bank of America Corp ↗,Low,67944.4666073956,27982.447357113706,41%
Bank of America Corp ↗,Medium,67944.4666073956,38144.94581912183,56%
Bank of Montreal ↗,High,13460.400444711548,216.22210640653745,2%
Bank of Montreal ↗,Low,13460.400444711548,5785.0403420168905,43%
Bank of Montreal ↗,Medium,13460.400444711548,7459.1379962881165,55%
Bank of Nova Scotia ↗,High,15091.912733141296,1119.1587609182175,7%
Bank of Nova Scotia ↗,Low,15091.912733141296,7327.124379846903,49%
Bank of Nova Scotia ↗,Medium,15091.912733141296,6645.629592376174,44%
Barclays PLC ↗,High,49660.125322732514,463.0980893672627,1%
Barclays PLC ↗,Low,49660.125322732514,16762.253847832944,34%
Barclays PLC ↗,Medium,49660.125322732514,32434.77338553233,65%
Bpce SA ↗,High,16340.720986000275,828.1051230125814,5%
Bpce SA ↗,Low,16340.720986000275,9479.239634838745,58%
Bpce SA ↗,Medium,16340.720986000275,6033.376228148945,37%
China Investment Corp* ↗,High,33633.751046416546,794.6867213539176,2%
China Investment Corp* ↗,Low,33633.751046416546,20921.753955700508,62%
China Investment Corp* ↗,Medium,33633.751046416546,11917.310369362129,35%
Citigroup Inc ↗,High,103684.60551836451,2746.787878175235,3%
Citigroup Inc ↗,Low,103684.60551836451,56302.75937674667,54%
Citigroup Inc ↗,Medium,103684.60551836451,44635.05826344266,43%
CoBank ACB ↗,High,13682.751114053606,47.50928175268176,0%
CoBank ACB ↗,Low,13682.751114053606,4988.914128587913,36%
CoBank ACB ↗,Medium,13682.751114053606,8646.327703713023,63%
Commerzbank AG ↗,High,15329.4432893841,132.52194397699625,1%
Commerzbank AG ↗,Low,15329.4432893841,9238.206641560437,60%
Commerzbank AG ↗,Medium,15329.4432893841,5958.714703846643,39%
Cooperatieve Rabobank UA ↗,High,31390.334032900686,2694.43984666832,9%
Cooperatieve Rabobank UA ↗,Low,31390.334032900686,11015.36982707817,35%
Cooperatieve Rabobank UA ↗,Medium,31390.334032900686,17680.52435915417,56%
DBS Group Holdings Ltd ↗,High,31562.72156365852,144.57657256888476,0%
DBS Group Holdings Ltd ↗,Low,31562.72156365852,21333.475094739442,68%
DBS Group Holdings Ltd ↗,Medium,31562.72156365852,10084.669896350144,32%
Deutsche Bank AG ↗,High,41692.04960009005,2451.2342928836333,6%
Deutsche Bank AG ↗,Low,41692.04960009005,17192.638750281003,41%
Deutsche Bank AG ↗,Medium,41692.04960009005,22048.176556925457,53%
Goldman Sachs Group Inc ↗,High,18941.649582353435,525.7658706082651,3%
Goldman Sachs Group Inc ↗,Low,18941.649582353435,9185.400178939493,48%
Goldman Sachs Group Inc ↗,Medium,18941.649582353435,9230.483532805669,49%
HSBC Holdings PLC ↗,High,65651.1929351796,1763.761757928136,3%
HSBC Holdings PLC ↗,Low,65651.1929351796,32033.317255093105,49%
HSBC Holdings PLC ↗,Medium,65651.1929351796,31854.113922158504,49%
ING Groep NV ↗,High,38610.77655796601,2596.4315010955847,7%
ING Groep NV ↗,Low,38610.77655796601,16552.603080879057,43%
ING Groep NV ↗,Medium,38610.77655796601,19461.74197599139,50%
IUPAR Itau Unibanco Participacoes SA ↘,High,11662.230658208857,5143.810208354084,44%
IUPAR Itau Unibanco Participacoes SA ↘,Low,11662.230658208857,2225.157540588097,19%
IUPAR Itau Unibanco Participacoes SA ↘,Medium,11662.230658208857,4293.262909266669,37%
Industrial and Commercial Bank of China Ltd* ↗,High,15915.137971090298,335.0649143740737,2%
Industrial and Commercial Bank of China Ltd* ↗,Low,15915.137971090298,12808.725683854635,80%
Industrial and Commercial Bank of China Ltd* ↗,Medium,15915.137971090298,2771.3473728615813,17%
JPMorgan Chase & Co ↗,High,74262.86613975455,4321.58648594377,6%
JPMorgan Chase & Co ↗,Low,74262.86613975455,26858.49606742871,36%
JPMorgan Chase & Co ↗,Medium,74262.86613975455,43082.78358638192,58%
Mitsubishi UFJ Financial Group Inc ↘,High,145209.1992170662,1469.4008980753692,1%
Mitsubishi UFJ Financial Group Inc ↘,Low,145209.1992170662,123680.95734372496,85%
Mitsubishi UFJ Financial Group Inc ↘,Medium,145209.1992170662,20058.840975265597,14%
Mizuho Financial Group Inc ↘,High,117866.2018499326,660.362225632854,1%
Mizuho Financial Group Inc ↘,Low,117866.2018499326,96846.05977553355,82%
Mizuho Financial Group Inc ↘,Medium,117866.2018499326,20359.77984876635,17%
Morgan Stanley ↘,High,40410.822796289794,2054.8342344841058,5%
Morgan Stanley ↘,Low,40410.822796289794,34627.91275382584,86%
Morgan Stanley ↘,Medium,40410.822796289794,3728.0758079798434,9%
NatWest Group PLC ↘,High,17119.384649231066,158.241374274586,1%
NatWest Group PLC ↘,Low,17119.384649231066,12548.60616494127,73%
NatWest Group PLC ↘,Medium,17119.384649231066,4412.537110015184,26%
Norinchukin Bank ↘,Low,17516.157978926232,16622.434369920753,95%
Norinchukin Bank ↘,Medium,17516.157978926232,893.7236090054841,5%
Other financial institutions,High,154835.83842938842,11837.06041536776,8%
Other financial institutions,Low,269473.39481077547,182801.27757487455,68%
Other financial institutions,Medium,242948.58932964844,95235.94108726819,39%
Royal Bank of Canada ↗,High,25838.63849772298,96.3451451942448,0%
Royal Bank of Canada ↗,Low,25838.63849772298,8873.938944180805,34%
Royal Bank of Canada ↗,Medium,25838.63849772298,16868.35440834794,65%
Sas Rue La Boetie ↗,High,31580.62020522305,1422.7822293126676,5%
Sas Rue La Boetie ↗,Low,31580.62020522305,23891.11240811007,76%
Sas Rue La Boetie ↗,Medium,31580.62020522305,6266.725567800325,20%
Self-Arranged ↗,High,13820.866821852542,2702.0515254988777,20%
Self-Arranged ↗,Low,13820.866821852542,9144.639131378963,66%
Self-Arranged ↗,Medium,13820.866821852542,1974.1761649746993,14%
Societe Generale SA ↗,High,36424.49848406785,886.4136141294083,2%
Societe Generale SA ↗,Low,36424.49848406785,21271.887757251483,58%
Societe Generale SA ↗,Medium,36424.49848406785,14266.197112686967,39%
Standard Chartered PLC ↗,High,26810.266898913662,964.0963541250687,4%
Standard Chartered PLC ↗,Low,26810.266898913662,12577.751694594788,47%
Standard Chartered PLC ↗,Medium,26810.266898913662,13268.418850193757,49%
Sumitomo Mitsui Financial Group Inc ↗,High,52888.56499601692,1247.5490997858556,2%
Sumitomo Mitsui Financial Group Inc ↗,Low,52888.56499601692,37491.877829422745,71%
Sumitomo Mitsui Financial Group Inc ↗,Medium,52888.56499601692,14149.138066808317,27%
Sumitomo Mitsui Trust Holdings Inc ↘,High,20843.864289143363,104.90131435087689,1%
Sumitomo Mitsui Trust Holdings Inc ↘,Low,20843.864289143363,20067.58104133563,96%
Sumitomo Mitsui Trust Holdings Inc ↘,Medium,20843.864289143363,671.381933456855,3%
Toronto-Dominion Bank ↗,High,14467.871119532801,79.22124159235858,1%
Toronto-Dominion Bank ↗,Low,14467.871119532801,6066.2296638488615,42%
Toronto-Dominion Bank ↗,Medium,14467.871119532801,8322.42021409159,58%
UBS Group AG ↗,High,66501.73092057384,1990.2058544497395,3%
UBS Group AG ↗,Low,66501.73092057384,31478.067689891886,47%
UBS Group AG ↗,Medium,66501.73092057384,33033.45737623229,50%
Undisclosed Advisor ↗,High,56464.47598153604,14.5669455196238,0%
Undisclosed Advisor ↗,Low,56464.47598153604,24449.635370306423,43%
Undisclosed Advisor ↗,Medium,56464.47598153604,32000.273665709978,57%
