fi_name_for_plot,financial_flow_link_strength,total_usd_m,total_usd_m_this_strength,pct_this_strength_for_fi
ABN Amro Bank NV ↗,High,10660.15845095401,582.5694518771644,5%
ABN Amro Bank NV ↗,Low,10660.15845095401,5300.931730793938,50%
ABN Amro Bank NV ↗,Medium,10660.15845095401,4776.657268282911,45%
ANZ Group Holdings Ltd ↗,High,14932.674092542293,177.55003181771755,1%
ANZ Group Holdings Ltd ↗,Low,14932.674092542293,7787.578920390015,52%
ANZ Group Holdings Ltd ↗,Medium,14932.674092542293,6967.545140334561,47%
BNP Paribas SA ↘,High,38725.37688289848,545.3989869541595,1%
BNP Paribas SA ↘,Low,38725.37688289848,20281.31829184293,52%
BNP Paribas SA ↘,Medium,38725.37688289848,17898.65960410143,46%
Banco Bilbao Vizcaya Argentaria SA ↗,High,9119.336272508452,121.96618793577044,1%
Banco Bilbao Vizcaya Argentaria SA ↗,Low,9119.336272508452,5639.4615198137035,62%
Banco Bilbao Vizcaya Argentaria SA ↗,Medium,9119.336272508452,3357.90856475898,37%
Banco Bradesco SA ↘,High,13657.789640732575,6066.338588533217,44%
Banco Bradesco SA ↘,Low,13657.789640732575,3946.0502347317565,29%
Banco Bradesco SA ↘,Medium,13657.789640732575,3645.4008174676037,27%
Banco Santander SA ↗,High,25477.623000583197,3383.4712438081438,13%
Banco Santander SA ↗,Low,25477.623000583197,14082.346517072043,55%
Banco Santander SA ↗,Medium,25477.623000583197,8011.8052397030115,31%
Banco do Brasil SA* ↘,High,7729.614710025431,3707.0791462963266,48%
Banco do Brasil SA* ↘,Low,7729.614710025431,2667.0813120900825,35%
Banco do Brasil SA* ↘,Medium,7729.614710025431,1355.4542516390172,18%
Bank VTB PAO* →,Low,14852.022908332476,14852.022908332476,100%
Bank of America Corp ↗,High,47848.94880137072,615.8750616869497,1%
Bank of America Corp ↗,Low,47848.94880137072,20307.306863220794,42%
Bank of America Corp ↗,Medium,47848.94880137072,26925.766876462993,56%
Bank of Montreal ↗,High,9164.729843604646,151.4380368987605,2%
Bank of Montreal ↗,Low,9164.729843604646,4526.956079231882,49%
Bank of Montreal ↗,Medium,9164.729843604646,4486.335727473998,49%
Bank of Nova Scotia ↗,High,11616.773337704732,802.114234240917,7%
Bank of Nova Scotia ↗,Low,11616.773337704732,5851.123055763353,50%
Bank of Nova Scotia ↗,Medium,11616.773337704732,4963.536047700465,43%
Barclays PLC ↗,High,35748.74800193785,368.88386789392536,1%
Barclays PLC ↗,Low,35748.74800193785,13048.196823242259,36%
Barclays PLC ↗,Medium,35748.74800193785,22331.66731080169,62%
Bpce SA ↘,High,11275.3570645434,562.8186092619898,5%
Bpce SA ↘,Low,11275.3570645434,6684.573729059547,59%
Bpce SA ↘,Medium,11275.3570645434,4027.96472622187,36%
China Investment Corp* ↘,High,24600.102654669965,648.1998228440647,3%
China Investment Corp* ↘,Low,24600.102654669965,16215.059942831896,66%
China Investment Corp* ↘,Medium,24600.102654669965,7736.8428889939805,31%
Citigroup Inc ↗,High,69796.31094250247,1741.674845623296,2%
Citigroup Inc ↗,Low,69796.31094250247,39165.54704280992,56%
Citigroup Inc ↗,Medium,69796.31094250247,28889.089054069347,41%
CoBank ACB ↗,Low,10218.614859858697,3213.2917682790544,31%
CoBank ACB ↗,Medium,10218.614859858697,7005.32309157965,69%
Commerzbank AG ↘,High,10125.246133708815,119.95080054280886,1%
Commerzbank AG ↘,Low,10125.246133708815,6213.030535327237,61%
Commerzbank AG ↘,Medium,10125.246133708815,3792.264797838766,37%
Cooperatieve Rabobank UA ↘,High,22868.151452566082,2126.8281074424817,9%
Cooperatieve Rabobank UA ↘,Low,22868.151452566082,8527.67192326691,37%
Cooperatieve Rabobank UA ↘,Medium,22868.151452566082,12213.651421856692,53%
DBS Group Holdings Ltd ↗,High,24353.3826010737,128.71925262917276,1%
DBS Group Holdings Ltd ↗,Low,24353.3826010737,17168.13280048569,70%
DBS Group Holdings Ltd ↗,Medium,24353.3826010737,7056.530547958776,29%
Deutsche Bank AG ↗,High,31279.779571065767,1831.559995885845,6%
Deutsche Bank AG ↗,Low,31279.779571065767,13478.826548081763,43%
Deutsche Bank AG ↗,Medium,31279.779571065767,15969.393027098138,51%
Goldman Sachs Group Inc ↗,High,12209.721723395414,506.56111005919246,4%
Goldman Sachs Group Inc ↗,Low,12209.721723395414,6396.146032426886,52%
Goldman Sachs Group Inc ↗,Medium,12209.721723395414,5307.014580909328,43%
