fi_name_for_plot,financial_flow_link_strength,total_usd_m,total_usd_m_this_strength,pct_this_strength_for_fi
ABN Amro Bank NV,High,12723.282695462225,715.1660793060121,6%
ABN Amro Bank NV,Low,12723.282695462225,5758.31486991954,45%
ABN Amro Bank NV,Medium,12723.282695462225,6249.801746236666,49%
ANZ Group Holdings Ltd,High,18012.15014898999,227.44486301668658,1%
ANZ Group Holdings Ltd,Low,18012.15014898999,9051.630397439167,50%
ANZ Group Holdings Ltd,Medium,18012.15014898999,8733.07488853411,48%
BNP Paribas SA,High,48005.956308464774,694.6648176095882,1%
BNP Paribas SA,Low,48005.956308464774,24389.9109969096,51%
BNP Paribas SA,Medium,48005.956308464774,22921.380493945675,48%
BTG Pactual G7 Holding SA,High,8691.11678999996,5281.3627378975125,61%
BTG Pactual G7 Holding SA,Low,8691.11678999996,1988.2084098626344,23%
BTG Pactual G7 Holding SA,Medium,8691.11678999996,1421.5456422398188,16%
Banco Bilbao Vizcaya Argentaria SA,High,12203.636412735317,143.46325981897365,1%
Banco Bilbao Vizcaya Argentaria SA,Low,12203.636412735317,6486.509190789074,53%
Banco Bilbao Vizcaya Argentaria SA,Medium,12203.636412735317,5573.663962127269,46%
Banco Bradesco SA,High,17542.84990061084,8548.895343498469,49%
Banco Bradesco SA,Low,17542.84990061084,4681.8593152291,27%
Banco Bradesco SA,Medium,17542.84990061084,4312.095241883282,25%
Banco Santander SA,High,34123.987537900466,5536.6046505048325,16%
Banco Santander SA,Low,34123.987537900466,18544.524485745947,54%
Banco Santander SA,Medium,34123.987537900466,10042.858401649684,29%
Banco do Brasil SA*,High,10462.972838248086,5794.087526434098,55%
Banco do Brasil SA*,Low,10462.972838248086,2894.8462052506566,28%
Banco do Brasil SA*,Medium,10462.972838248086,1774.0391065633396,17%
Bank VTB PAO*,Low,14852.022908332476,14852.022908332476,100%
Bank of America Corp,High,57812.13722226147,1649.7273448824224,3%
Bank of America Corp,Low,57812.13722226147,24226.293377495047,42%
