case,boundary_period,defn_phase_out,total_usd_m_high_conf,total_usd_m_high_medium_conf,total_usd_m_high_medium_low_conf
bolivia_soya_beans,0,FALSE,0,16450.109588599622,16450.109588599622
bolivia_soya_beans,0,TRUE,0,0,0
bolivia_soya_beans,1,FALSE,0,31766.192319906502,31766.192319906502
bolivia_soya_beans,1,TRUE,0,0,0
bolivia_soya_beans,2,FALSE,348.78120527825297,44198.043689672,44353.70481150597
bolivia_soya_beans,2,TRUE,0,0,0
bolivia_soya_beans,3,FALSE,348.78120527825297,48912.478029168626,50200.21050702759
bolivia_soya_beans,3,TRUE,0,0,0
brazil_cattle_meat,0,FALSE,18409.60589914678,56510.445251666955,68068.09459365215
brazil_cattle_meat,0,TRUE,3427.6250851945965,3470.9708231423933,4110.330174377544
brazil_cattle_meat,1,FALSE,26339.137429390154,70544.38938550174,86712.18887757664
brazil_cattle_meat,1,TRUE,3649.974293387089,3693.3200313348857,4332.679382570036
brazil_cattle_meat,2,FALSE,26894.72816594169,79976.17398493363,96143.97347700891
brazil_cattle_meat,2,TRUE,4790.786578627429,4834.132316575224,5473.491667810374
brazil_cattle_meat,3,FALSE,26894.72816594169,85973.94332355347,102150.88707918422
brazil_cattle_meat,3,TRUE,5952.974106075906,5996.319844023701,6635.679195258851
brazil_oil_palm_fruit,0,FALSE,0,9840.632325335248,14414.130735096336
brazil_oil_palm_fruit,0,TRUE,0,0,0
brazil_oil_palm_fruit,1,FALSE,0,13299.666534415674,17873.164944176748
brazil_oil_palm_fruit,1,TRUE,0,0,0
brazil_oil_palm_fruit,2,FALSE,0,17953.353966658684,22526.852376419756
brazil_oil_palm_fruit,2,TRUE,0,0,0
brazil_oil_palm_fruit,3,FALSE,0,22651.43906689627,30343.59176832287
brazil_oil_palm_fruit,3,TRUE,0,0,0
brazil_soya_beans,0,FALSE,36179.44432782202,348033.2552923724,1087841.743598457
brazil_soya_beans,0,TRUE,458.00729234243937,10519.878891634404,12395.747991508593
brazil_soya_beans,1,FALSE,37376.79735750818,381728.86569773767,1207395.9128074336
brazil_soya_beans,1,TRUE,458.00729234243937,11395.697060919392,17204.43695259069
brazil_soya_beans,2,FALSE,38387.57390786201,400339.1564875361,1282497.9998919186
brazil_soya_beans,2,TRUE,458.00729234243937,11852.547140887453,20619.898868994023
brazil_soya_beans,3,FALSE,38387.57390786201,400339.1564875361,1282497.9998919186
brazil_soya_beans,3,TRUE,458.00729234243937,11852.547140887453,20619.898868994023
brazil_sugar_cane,0,FALSE,10642.749459120098,56168.776538394624,144030.72528542182
brazil_sugar_cane,0,TRUE,0,0,0
brazil_sugar_cane,1,FALSE,21231.149288733406,96391.62631095794,242896.88388958192
brazil_sugar_cane,1,TRUE,0,0,0
brazil_sugar_cane,2,FALSE,28818.444387287924,130731.15477923413,320015.8881053798
brazil_sugar_cane,2,TRUE,0,0,0
brazil_sugar_cane,3,FALSE,34104.45973546661,157333.48399955794,423377.62355069286
brazil_sugar_cane,3,TRUE,0,0,0
colombia_cattle_meat,0,FALSE,818.1483218027172,5519.4780739637845,5519.4780739637845
colombia_cattle_meat,0,TRUE,0,343.0475059577279,343.0475059577279
colombia_cattle_meat,1,FALSE,1266.2622069450695,7103.2358540317155,7103.2358540317155
colombia_cattle_meat,1,TRUE,0,343.0475059577279,343.0475059577279
colombia_cattle_meat,2,FALSE,1808.3334243866645,11382.225047486405,11382.225047486405
colombia_cattle_meat,2,TRUE,0,529.0238271310797,529.0238271310797
colombia_cattle_meat,3,FALSE,2987.9574087265637,13560.856024530567,13560.856024530567
colombia_cattle_meat,3,TRUE,0,529.0238271310797,529.0238271310797
colombia_cocoa_beans,0,FALSE,0,0,0
colombia_cocoa_beans,0,TRUE,0,0,0
colombia_cocoa_beans,1,FALSE,0,0,0
colombia_cocoa_beans,1,TRUE,0,0,0
colombia_cocoa_beans,2,FALSE,0,0,0
colombia_cocoa_beans,2,TRUE,0,0,0
colombia_cocoa_beans,3,FALSE,0,0,0
colombia_cocoa_beans,3,TRUE,0,0,0
colombia_coffee_green,0,FALSE,16819.202945354897,34060.51732063157,109584.70127404707
colombia_coffee_green,0,TRUE,0,0,0
colombia_coffee_green,1,FALSE,17059.693726049718,35605.947542537004,118566.84648563023
colombia_coffee_green,1,TRUE,0,0,0
colombia_coffee_green,2,FALSE,17786.112294608247,38125.76416006894,130858.38678236023
colombia_coffee_green,2,TRUE,0,0,0
colombia_coffee_green,3,FALSE,17903.169408190985,38904.51741972723,145268.7124803659
colombia_coffee_green,3,TRUE,0,0,0
ecuador_cocoa_beans,0,FALSE,303.7731835383475,175195.6332242256,251012.14168099864
ecuador_cocoa_beans,0,TRUE,0,0,0
ecuador_cocoa_beans,1,FALSE,303.7731835383475,237282.1487241364,326530.4755897491
ecuador_cocoa_beans,1,TRUE,0,0,0
ecuador_cocoa_beans,2,FALSE,303.7731835383475,289235.85461069876,396203.96567132446
ecuador_cocoa_beans,2,TRUE,0,0,0
ecuador_cocoa_beans,3,FALSE,303.7731835383475,319609.440754862,428149.8455581151
ecuador_cocoa_beans,3,TRUE,0,0,0
peru_cocoa_beans,0,FALSE,0,2402.4067180321945,2402.4067180321945
peru_cocoa_beans,0,TRUE,0,13385.418580724492,13385.418580724492
peru_cocoa_beans,1,FALSE,0,2402.4067180321945,2402.4067180321945
